Deal Title,Partner Company,Principal Company,Other Company Names (Principal Company),Principal Company Type,Principal Company Field of Activity,Other Company Names (Partner Company),Partner Company Type,Partner Company Field of Activity,Bucket,Modality,TA,# of Targets,Color,Deal Start Date,Agreement Type,Deal Asset Type,Deal Transaction Type,Status,Total Projected Current (USD M),Total Paid (USD M),Upfront Payment Current (USD M),Total Milestone Current (USD M),Royalties (Maximum; estimate),Indications,Target-based Actions,Technologies,Drugs,Drugs Highest Status (Deal Start),Drugs Highest Status (Current),Most Recent Event Date,Territories Included,Territories Excluded,Has Contract
Immatics Biotechnologies and Celgene to develop and commercialize T-lymphocyte cell therapies for multiple cancers worldwide,Celgene Corp,Immatics NV,Immatics Biotechnologies GmbH; Immatics Biotechnologies Gmhh; Immatics Biotechologies Gmbh,Pharma,Biologics,Celgene Avilomics Research Inc; Celgene Coporation; Celgene Corporaton; Celgene Tri A Holdings Ltd,Pharma,Pharmaceuticals,Screening,Cell Therapy,Cancer,3,TCR discovery and engineering platform,28-Aug-2019,Drug - Development/Commercialization License,Drug Discovery Technology; Drug,License - Collaboration (Shared responsibilities);License - License Option (Option to take a license),Active,1590,75,75,Payment Unspecified,Payment Unspecified,Cancer (Primary); Solid tumor,HLA antigen modulator,T-lymphocyte cell therapy (Primary); Biological therapeutic; Immuno-oncology; Infusion; Intravenous formulation; Protein recombinant; T-lymphocyte,IMA-204,Discovery,Discovery,28-Aug-2019,World,,No
Gilead Sciences and Agenus to develop immuno-oncology therapies worldwide,Gilead Sciences Inc,Agenus Inc,Agenus Bio; Antigenics Inc; Antigenics LLC; Macrophage Inc,Pharma,Biologics,Gilead Biologics Inc; Gilead Calistoga Llc; Gilead Connecticut Inc; Gilead Sciences Drive; Gilead Scienes Inc,Biotech,Biologics; Pharmaceuticals,Asset License,Antibody,Cancer,3,license to 1 asset + option for 2 more,20-Dec-2018,Drug - Development/Commercialization License,Product(s) only; Drug,License - Equity/Equity Option (Licensee invests in Licensor company);License - Collaboration (Shared responsibilities),Active,1872.2,172.5,120,1622.2,Payment Unspecified,Cancer (Primary); Advanced solid tumor,CDw137 agonist,Multispecific antibody (Primary); Antibody; Biological therapeutic; Immuno-oncology,AGEN-1223; AGEN-2373; GS-1423,Preclinical,Phase 1 Clinical,28-Aug-2019,World,,Yes-Redacted
"Boehringer Ingelheim and Lupin to develop and commercialize a combination drug, LNP-3794 and KRAS inhibitor to treat KRAS-driven cancers",Boehringer Ingelheim International GmbH,Lupin Ltd,Lupin Atlantis Holdings Sa; Lupin Chemicals Ltd; Lupin Laboratories Ltd; Lupin Ltd ( Research Park),Pharma,Biotechnology & Medical Research; Pharmaceuticals,Boehringer Ingelheim (China) Investment Co Ltd; Boehringer Ingelheim Corp; Boehringer Ingelheim Gesellschaft mit beschraenkter Haftung; Boehringer Ingelheim International Gmbh & Co Kg,Pharma,Pharmaceuticals; Biologics; Biotechnology & Medical Research,Asset License,Small Molecule,Cancer,1,MEK inhibitor that BI will use in combo with their KRAS program,04-Sep-2019,Drug - Development/Commercialization License,Drug; Product(s) only,License - Collaboration (Shared responsibilities),Active,720,20,20,700,Payment Unspecified,Gastrointestinal tumor (Primary); Advanced solid tumor; Lung tumor; Metastatic non small cell lung cancer,MEK protein kinase inhibitor,Small molecule therapeutic (Primary); Capsule formulation; Drug combination; Oral formulation,BI-3011441,Phase 3 Clinical,Preclinical,04-Sep-2019,,,No
"Clovis and 3BP to discover 3B-201 and 3B-202 plus radiopharmaceuticals for three targets using 3BP’s technology platform worldwide and US ex-Europe, Russia, Turkey, Israel",Clovis Oncology Inc,3B Pharmaceuticals Gmbh,3b Pharmaceuticals Inc,Pharma,Diagnostics & Testing; Pharmaceuticals,,Biotech,Pharmaceuticals,Asset License,Radiopharmaceuticals,Cancer,1,,23-Sep-2019,Drug - Discovery/Design,Diagnostic; Drug Discovery Technology; Drug,License - Collaboration (Shared responsibilities),Active,12,12,12,Payment Unspecified,Payment Unspecified,Carcinoma (Primary); Breast tumor; Colorectal tumor; Lung tumor; Pancreas tumor; Solid tumor,,Peptide (Primary); Biological therapeutic; Imaging; Parenteral formulation unspecified; Radiolabeling,3B-201; 3B-202,Preclinical,Preclinical,23-Sep-2019,US; World,Europe; Israel; Russian Federation; Turkey,No
"Sosei Heptares and Genentech to discover, develop and commercialize GPCR modulating small molecules and/or biologics for range of diseases worldwide",Genentech Inc,Sosei Heptares,Sosei Co Ltd; Sosei Group Corp; Sosei KK,Pharma,Pharmaceuticals,Genentec Inc; Genentech; Genentech Inc (Us; Genetech Inc,Biotech,Biologics; Biotechnology & Medical Research; Pharmaceuticals,Screening,Small Molecule,Unknown,mult. unspec.,GPCR-focused structure-based drug design capabilities at Sosei Heptares,16-Jul-2019,Drug - Development/Commercialization License,Drug; Product(s) only,License - Collaboration (Shared responsibilities),Active,1026,29,26,1000,Payment Unspecified,Unidentified indication (Primary),G protein coupled receptor modulator,Small molecule therapeutic (Primary); Biological therapeutic,,Discovery,,09-Oct-2019,World,,No
EPI Health to acquire Aclaris Therapeutics' worldwide rights to Rhofade and related IP for the treatment persistent facial erythema,EPI Health LLC,Aclaris Therapeutics Inc,,Pharma,Pharmaceuticals,,Biotech,,Asset License,Small Molecule,Dermatologic,1,rosacea,10-Oct-2019,Drug - Asset Divestment,Drug; Product(s) only,Asset Purchase,Active,55,35,35,20,Payment Unspecified,Erythema (Primary); Rosacea,Alpha 1A adrenoceptor agonist,Small molecule therapeutic (Primary); Dermatological formulation; Emulsion dermatological,"oxymetazoline (topical cream, rosacea), AbbVie/EPI Health",Launched,Launched,10-Oct-2019,World,,Yes-Redacted
"Clementia to develop and commercialize Blueprint's BLU-782 for fibrodysplasia ossificans progressiva, worldwide",Clementia Pharmaceuticals Inc,Blueprint Medicines Corp,Hoyle Pharmaceuticals Inc,Pharma,Pharmaceuticals,,Pharma,Pharmaceuticals,Asset License,Small Molecule,Musculoskeletal,1,,16-Oct-2019,Drug - Development/Commercialization License,Product(s) only; Drug,License - Basic License (Licensee takes over),Active,535,25,25,510,Payment Unspecified,Fibrodysplasia ossificans progressiva (Primary),Alk-2 protein kinase inhibitor,Small molecule therapeutic (Primary); Capsule formulation; Oral formulation,"BLU-782 (Fast Track, Orphan Drug)",Phase 1 Clinical,Phase 1 Clinical,16-Oct-2019,World,,Yes-Redacted
Exelixis and Invenra to discover and develop multispecific antibodies against cancer using B-Body technology platform worldwide,Exelixis Inc,Invenra Inc,,Pharma,Pharmaceuticals,Exelixis; Exelixis Patent Co Llc; Exelixis Pharmaceuticals Inc; Exelixis Plant Sciences Inc,Biotech,Pharmaceuticals,Screening,Antibody,Cancer,3,Invenra’s B-Body™ platform,02-May-2018,Drug - Discovery/Design,Product(s) only; Drug,License - Collaboration (Shared responsibilities),Active,470.5,14,14,456.5,Payment Unspecified,Cancer (Primary),,Multispecific monoclonal antibody (Primary); Biological therapeutic,"multispecific antibody (cancer), Invenra/ Exelixis",Discovery,Discovery,31-Oct-2019,World,,No
Skyhawk and Celgene to discover mRNA splicing modifiers using STAR* technology for neurological diseases with worldwide license option,Celgene Corp,Skyhawk Therapeutics,,Biotech,Biotechnology & Medical Research,Celgene Avilomics Research Inc; Celgene Coporation; Celgene Corporaton; Celgene Tri A Holdings Ltd,Pharma,Pharmaceuticals,Screening,Small Molecule,Neurology/Psychiatric,5,small molecule targets RNA for exon skipping,26-Jun-2018,Drug - Development/Commercialization License,Product(s) Plus (Platform Technology and/or Ongoing Research); Drug,License - Collaboration (Shared responsibilities);License - License Option (Option to take a license),Active,140,140,140,Payment Unspecified,Payment Unspecified,Neurological disease (Primary); Autoimmune disease; Huntingtons chorea; Immune disorder; Motor neurone disease; Neoplasm,Splicing factor modulator,Small molecule therapeutic (Primary); Immuno-oncology,,Discovery,,12-Nov-2019,World,,No
Vertex and Molecular Templates to discover and develop targeted conditioning regimens for hematopoietic stem cell transplants worldwide,Vertex Pharmaceuticals Inc,Molecular Templates Inc,Threshold Pharmaceuticals; Threshold Pharmaceuticals Inc,Biotech,Biotechnology & Medical Research,Veritas Pharmaceuticals Inc; Vertex Pharmaceuticals; Vertex Pharmaceuticals Incorporated,Pharma,Pharmaceuticals,Delivery,Cell Therapy,Immune,2,this is an adjuvant that will remove bad cells to enable better engraftment of hematopoietic stem cell transplants,18-Nov-2019,Drug - Development/Commercialization License,Product(s) only; Drug,License - Collaboration (Shared responsibilities);License - License Option (Option to take a license),Active,560,38,23,500,Payment Unspecified,Hematopoietic stem cell transplantation (Primary),BCL11A gene modulator,Haematopoietic stem cell therapy (Primary); Autologous stem cell therapy; Biological therapeutic; Infusion; Intravenous formulation; Peripheral blood stem cell therapy,"CTX-001 (Fast Track, Orphan Drug)",Phase 2 Clinical,Phase 2 Clinical,18-Nov-2019,,World,Yes-Redacted
Novartis to develop and commercialize MorphoSys' MOR-106 for AtD and other indications worldwide,Novartis AG,MorphoSys AG + Galapagos,MorphoSys Gesellschaft fuer Proteinoptimierung AG; MorphoSys Gesellschaft fuer Proteinoptimierung mbH; Morphosys Ip Gmbh,Biotech,Biologics,Novartis; Novartis GmbH; Sandoz Private Ltd,Pharma,Biologics; Pharmaceuticals; Veterinary Drugs,Asset License,Antibody,Dermatologic,1,MorphoSys and Galapagos have preexisting agreement to 50/50 split economics on any partnerships,19-Jul-2018,Drug - Development/Commercialization License,Drug; Product(s) only,License - Basic License (Licensee takes over),Terminated,563.35,56.63,56.63,506.72,20,Atopic dermatitis (Primary); Inflammatory disease,IL-17 antagonist,Monoclonal antibody human (Primary); Biological therapeutic; Immunoglobulin G isotype antibody; Infusion; Intravenous formulation,MOR-106,Phase 2 Clinical,Discontinued,17-Dec-2019,World,,No
"Biogen to develop and commercialize Catalyst's CB-2782-PEG for GA associated dry AMD, worldwide",Biogen Inc,Catalyst Biosciences Inc,Catalyst Biosciences,Pharma,Biologics,Biogen Chesapeake Llc; Biogen Idec; Biogen Idec Inc; Biogen Idec International Neuroscience Gmbh; Biogen Idec Ma Inc; Biogen Srl; Idec Pharmaceuticals Corp,Pharma,Biologics,Asset License,Small Molecule,Ocular,1,,18-Dec-2019,Drug - Development/Commercialization License,Drug; Product(s) only,License - Basic License (Licensee takes over),Active,355,15,15,340,,Dry age related macular degeneration (Primary); Atrophy,Complement C3 inhibitor,Small molecule therapeutic (Primary); Ophthalmic formulation,CB-2782-PEG,Preclinical,Preclinical,18-Dec-2019,World,,Yes-Redacted
"Rheos Medicines and Roche to discover, develop and commercialize therapeutic candidates for the immunometabolism worldwide",Roche Holding AG,Rheos Medicines Inc,,Biotech,Biologics,Roche; Roche GmbH; Roche Holding Ltd; Roche Holdings Inc; Roche R&D Center China Ltd,Pharma,Digital Imaging & Pathology; Diagnostics & Testing; Pharmaceuticals; Biologics; Medical Equipment & Technology; Holding Company; Digital Health Software & Analytics,Screening,Small Molecules,Immune,mult. unspec.,"platform and product engine that integrates multiple “omic” datasets, we systematically define the biologic links between immune cell metabolism and function and simultaneously identify new drug targets and biomarkers; want foothold in immunotherapey",19-Dec-2019,Drug - Development/Commercialization License,Drug; Drug Discovery Technology,License - License Option (Option to take a license);License - Collaboration (Shared responsibilities),Active,792.5,42.5,42.5,660,Payment Unspecified,Autoimmune disease (Primary); Inflammatory disease,,Small molecule therapeutic (Primary),,Discovery,,19-Dec-2019,World,,No
Janssen acquires bermekimab from XBiotech,Janssen Biotech Inc,XBiotech Inc,,Biotech,Biologics,"BIOCAD; Centocor; Centocor Inc; Centocor Ortho Biotech Inc; Centocor R&D Inc; Centocor Research and Development Inc; Centocor, Inc; Centocor_Ortho Biotech Inc; Jannsen Biotech Inc; Janssen Biotech; Ortho Biotech Holding Llc",Pharma,Biologics,Asset License,Antibody,Dermatologic,1,atopic dermatitis,07-Dec-2019,Drug - Asset Divestment,Drug; Product(s) only,Asset Purchase,Completed,1350,750,750,600,,Hidradenitis (Primary); Atopic dermatitis,Interleukin-1 alpha ligand inhibitor,Monoclonal antibody human (Primary); Biological therapeutic; Immunoglobulin G isotype antibody; Infusion; Intravenous formulation; Subcutaneous formulation,bermekimab (Fast Track),Pre-registration,Pre-registration,30-Dec-2019,,,Yes-Redacted
"Merck and Taiho to develop and commercialize small molecule KRAS gene inhibitors against cancers, worldwide",Merck & Co Inc,Taiho Pharmaceutical Co Ltd,Taiho Pharmacetuical Co Ltd; Taiho Seiyaku KK; Taiho Yakuhin Kogyo KK; Taiho Pharmaceutical Co Ltd,Pharma,Pharmaceuticals,Mccampbell Alexander; Merck; Merck & Co; Merck & Co Inc Rahway New Jersey; Merck & Co Ltd; Merck Sharpe & Dohme Corp; Schering-Plough Corp,Pharma,Biologics; Pharmaceuticals,Screening,Small Molecule,Cancer,1,,06-Jan-2020,Drug - Development/Commercialization License,Product(s) only; Drug,License - Collaboration (Shared responsibilities),Active,2550,50,50,2500,Payment Unspecified,Cancer (Primary),KRAS gene inhibitor,Small molecule therapeutic (Primary),,Preclinical,,06-Jan-2020,World,,No
Pfizer to develop and commercialize eFFECTOR’s eIF4E inhibitor for multiple cancers worldwide,Pfizer Inc,eFFECTOR Therapeutics Inc,,Pharma,Biologics,Chas Pfizer & Co Inc; Pfizer; Pfizer Charles & Co Inc; Pfizer Inc Products Inc; Pfizer Limted; Pfizer Manufacturing Ireland; Pfizer Science & Technology Ireland Ltd; Pflzer Inc,Pharma,Biologics; Biotechnology & Medical Research; Pharmaceuticals,Screening,Small Molecule,Cancer,1,,09-Jan-2020,Drug - Development/Commercialization License,Drug; Product(s) only,License - Co-Promotion/Co-Promotion Option (One party books sales/ shared promotion);License - License Option (Option to take a license);License - Basic License (Licensee takes over),Active,507,15,15,Payment Unspecified,Payment Unspecified,Cancer (Primary),Eukaryotic initiation factor 4E inhibitor,Small molecule therapeutic (Primary); Oral formulation,"eukaryotic initiation factor 4E inhibitors (oral, solid tumor), eFFECTOR Therapeutics/Pfizer",Discovery,Preclinical,09-Jan-2020,World,,No
Gilead and Scholar Rock to discover and develop TGF-beta inhibitors against fibrotic diseases worldwide,Gilead Sciences Inc,Scholar Rock Inc,,Biotech,Biologics,Gilead Biologics Inc; Gilead Calistoga Llc; Gilead Connecticut Inc; Gilead Sciences Drive; Gilead Scienes Inc,Biotech,Biologics; Pharmaceuticals,Screening,Antibody,Inflammatory,3,inhibitors of TGFβ,19-Dec-2018,Drug - Development/Commercialization License,Drug; Product(s) only,License - Equity/Equity Option (Licensee invests in Licensor company);License - License Option (Option to take a license);License - Collaboration (Shared responsibilities),Active,1530,105,50,25,Payment Unspecified,Fibrosis (Primary),TGF beta 1 ligand inhibitor,Monoclonal antibody (Primary); Antibody; Biological therapeutic,"TGF-beta-1 inhibitors (fibrosis), Scholar Rock/ Gilead",Preclinical,Preclinical,09-Jan-2020,World,,Yes-Redacted
CAMP4 Therapeutics and Biogen to identify disease-associated gene targets using Gene Circuitry platform for neurological and neurodegenerative diseases,Biogen Inc,CAMP4 Therapeutics Corp,,Biotech,Biotechnology & Medical Research,Biogen Chesapeake Llc; Biogen Idec; Biogen Idec Inc; Biogen Idec International Neuroscience Gmbh; Biogen Idec Ma Inc; Biogen Srl; Idec Pharmaceuticals Corp,Pharma,Biologics,Target ID,Small Molecule,Neurology/Psychiatric,multiple unspec.,,10-Jan-2020,Drug - Development/Commercialization License,Product(s) only; Drug,License - Collaboration (Shared responsibilities);License - License Option (Option to take a license),Active,284,15,15,269,,Neurological disease (Primary); Neurodegenerative disease,,Small molecule therapeutic (Primary),,Discovery,,10-Jan-2020,,,No
Adaptimmune and Astellas Pharma to develop and commercialize stem-cell derived allogeneic T-cell therapies for cancer,Astellas Pharma Inc,Adaptimmune Therapeutics plc,Adaptimmune Ltd,Pharma,Pharmaceuticals,Astellas Deutschland Gmbh; Astellas Farma Brasil Importacao e Distribuicao de Medicamentos Ltda; Astellas Ireland Co Ltd; Astellas Pharm Inc; Astellas Pharma; Astellas Pharma Corp; Astellas Pharmaceutical Kk; Astellas Pharma Inc; Yamanouchi Pharmaceutical Co Ltd; Yamanouchi Yakuhin Shokai KK,Pharma,Pharmaceuticals,Screening,Cell Therapy,Cancer,3,TCR,13-Jan-2020,Drug - Development/Commercialization License,Drug Discovery Technology; Drug,License - Co-Development/Co-Development Option (Shared responsibilities and costs),Active,1457.5,50,50,847.5,Payment Unspecified,Cancer (Primary),,Allogenic stem cell therapy (Primary); Chimeric antigen receptor T cell therapy,,Discovery,,13-Jan-2020,,,No
"Celgene to develop and commercialize FORMA's FT-1101 for AML/NHL and an undisclosed target, worldwide",Celgene Corp,FORMA Therapeutics Inc,Forma Pharmaceuticals Inc,Biotech,Biotechnology & Medical Research,Celgene Avilomics Research Inc; Celgene Coporation; Celgene Corporaton; Celgene Tri A Holdings Ltd,Pharma,Pharmaceuticals,Asset License,Small Molecule,Cancer,1,,28-Dec-2018,Drug - Development/Commercialization License,Product(s) only; Drug,License - Basic License (Licensee takes over),Active,317,12,12,Payment Unspecified,,Non-Hodgkin lymphoma (Primary); Acute myelogenous leukemia,Bromodomain containing protein 2 inhibitor; Bromodomain containing protein 3 inhibitor; Bromodomain containing protein 4 inhibitor; Bromodomain testis-specific protein inhibitor,Small molecule therapeutic (Primary); Capsule formulation; Oral formulation,CC-95775 (Orphan Drug),Phase 1 Clinical,Phase 1 Clinical,30-Jan-2020,World,,No
"GBT and Syros to discover, develop and commercialize drugs for sickle cell disease and beta thalassemia",Global Blood Therapeutics Inc,Syros Pharmaceuticals,LS22 Inc; Syros Pharmaceuticals Inc,Biotech,Biotechnology & Medical Research; Pharmaceuticals,,Pharma,Biologics,Screening,Small Molecule,Hematologic,2,"SCD, Beta Thal",17-Dec-2019,Drug - Development/Commercialization License,Drug Discovery Technology; Drug,License - Co-Promotion/Co-Promotion Option (One party books sales/ shared promotion);License - Collaboration (Shared responsibilities);License - License Option (Option to take a license),Active,375,20,20,Payment Unspecified,Payment Unspecified,Beta thalassemia (Primary); Sickle cell crisis,,Small molecule therapeutic (Primary),,Discovery,,31-Jan-2020,France; Germany; Italy; Switzerland; UK; US; World,,Yes-Redacted
Immatics and GSK to develop and commercialize T-Cell Receptor (TCR) therapeutics against multiple cancer indications worldwide,GlaxoSmithKline plc,Immatics NV,Immatics Biotechnologies GmbH; Immatics Biotechnologies Gmhh; Immatics Biotechologies Gmbh,Pharma,Biologics,Glaxo Smith Kline Intellectual Property (No) Ltd; Glaxo Wellcome Manufacturing Pte Ltd; Glaxosmithkline Intellectual Property (No 2) Ltd; Glaxosmithkline Intellectual Property (N°2) Ltd; Glaxosmithkline Intellectual Property Development; Glaxosmithkline Intellectual Property Development Ltd; Glaxosmithkline Intellectual Property Developments Ltd; Glaxosmithkline Intellectual Property Fevelopment Ltd; Glaxosmithkline Intellectual Property Ltd; Glaxosmithkline Intellectual Property Management Ltd; Glaxosmithkllne Intellectual Property Development Ltd; Glsxosmithkline Intellectual Property Development Ltd; Trushelfco No2577 Ltd,Pharma,Pharmaceuticals; Biologics,Modality,Cell Therapy,Cancer,2,TCR auto + allo option,20-Feb-2020,Drug - Development/Commercialization License,Drug Discovery Technology; Drug,License - License Option (Option to take a license);License - Collaboration (Shared responsibilities),Active,600.01,50.01,50.01,550,,Cancer (Primary); Solid tumor,,T-lymphocyte cell therapy (Primary); Cell therapy,,Discovery,,20-Feb-2020,World,,No
Alexion and Affibody to develop ABY-039 for IgG mediated autoimmune diseases with an option to copromote worldwide,Alexion Pharmaceuticals Inc,Affibody AB,Affibody Holding AB; Affibody Medical AB,Pharma,Biologics,Alexion; Alexion Pharma Llc; Alexion Pharmaceuticlas Inc,Pharma,Biologics; Pharmaceuticals,Asset License,Peptide,Immune,1,IgG,20-Mar-2019,Drug - Development/Commercialization License,Drug; Product(s) only,License - Co-Promotion/Co-Promotion Option (One party books sales/ shared promotion);License - Collaboration (Shared responsibilities),Terminated,650,25,25,625,Payment Unspecified,Autoimmune disease (Primary),IgG receptor FcRn large subunit p51 modulator,Peptide (Primary); Biological therapeutic; Parenteral formulation unspecified,ABY-039,Phase 1 Clinical,Discontinued,29-Feb-2020,US; World,,No
Eli Lilly and AC Immune to develop tau aggregation inhibitors including ACI-3024 for neurodegenerative diseases worldwide,Eli Lilly & Co,AC Immune SA,AC-Immune S.r.r.l.,Biotech,Biologics,C/O Eli Lilly & Co; Eli Lilly & Compny; Eli Lilly and Company; Eli Lily & Co; Elli Lilly & Co; Ely Lilly & Co; Lilly Eli & Et Al Co; Lilly Korea Ltd,Pharma,Pharmaceuticals; Biologics,Asset License,Small Molecule,Neurology/Psychiatric,1,tau aggregation inhibitor SMs,11-Dec-2018,Drug - Development/Commercialization License,Product(s) only; Drug,License - Collaboration (Shared responsibilities),Active,1960.14,91.45,81.27,1828.84,Payment Unspecified,Neurodegenerative disease (Primary); Alzheimers disease,Tau aggregation inhibitor,Small molecule therapeutic (Primary),ACI-3024,Preclinical,Phase 1 Clinical,20-Mar-2020,World,,Yes-Redacted
CytomX Therapeutics and Astellas to develop Probody T-Cell Engaging Bispecific Therapies for cancer worldwide,Astellas Pharma Inc,CytomX Therapeutics Inc,CytomX LLC; CytomX Therapeutics LLC,Biotech,Biologics; Device & Implants,Astellas Deutschland Gmbh; Astellas Farma Brasil Importacao e Distribuicao de Medicamentos Ltda; Astellas Ireland Co Ltd; Astellas Pharm Inc; Astellas Pharma; Astellas Pharma Corp; Astellas Pharmaceutical Kk; Astellas Pharma Inc; Yamanouchi Pharmaceutical Co Ltd; Yamanouchi Yakuhin Shokai KK,Pharma,Pharmaceuticals,Modality,Bispecifics,Cancer,multiple unspec.,T-cell engaging bispecifics,23-Mar-2020,Drug - Development/Commercialization License,Drug Discovery Technology; Drug,License - Collaboration (Shared responsibilities);License - License Option (Option to take a license),Active,2580,80,80,1600,Payment Unspecified,Cancer (Primary),CD3 modulator,Bispecific antibody (Primary); Biological therapeutic; Immuno-oncology,"anti-CD3/anti-tumor antigen bispecific T-cell engager antibody program (Probody/Pb-TCB, cancer), CytomX/Astellas",Discovery,Discovery,23-Mar-2020,World,,No
"Fate and Janssen to develop CAR NK and CAR T-Cell product candidates against up to four tumor-associated antigens for hematologic malignancies and solid tumors, worldwide",Janssen Biotech Inc,Fate Therapeutics Inc,Fate Therapeutics (Canada) Inc; Fate Therepeutics Inc,Pharma,Biologics,"BIOCAD; Centocor; Centocor Inc; Centocor Ortho Biotech Inc; Centocor R&D Inc; Centocor Research and Development Inc; Centocor, Inc; Centocor_Ortho Biotech Inc; Jannsen Biotech Inc; Janssen Biotech; Ortho Biotech Holding Llc",Pharma,Biologics,Modality,Cell Therapy,Cancer,4,"NK, CAR T",02-Apr-2020,Drug - Development/Commercialization License,Drug; Drug Discovery Technology,License - Collaboration (Shared responsibilities);License - License Option (Option to take a license),Active,3100,100,50,3000,,Hematological neoplasm (Primary); Solid tumor,,Chimeric antigen receptor NK cell therapy (Primary); Chimeric antigen receptor T cell therapy,,Discovery,,02-Apr-2020,World,,No
"Gilead and Second Genome to identify biomarkers associated with clinical response up to five compounds using Microbiome Analytics Platform for inflammation, fibrosis, IBD, worldwide",Gilead Sciences Inc,Second Genome Inc,Phylotech Inc,Pharma,Microbiome Research; Pharmaceuticals,Gilead Biologics Inc; Gilead Calistoga Llc; Gilead Connecticut Inc; Gilead Sciences Drive; Gilead Scienes Inc,Biotech,Pharmaceuticals; Biologics,Screening,Peptide,Gastrointestinal,5,"Biomarker ID + 5 novel targets, IBD,  4 years",06-Apr-2020,Drug - Development/Commercialization License,Drug Discovery Technology; Drug,License - License Option (Option to take a license);License - Collaboration (Shared responsibilities),Active,1538,38,38,1500,,Inflammatory bowel disease (Primary); Fibrosis; Inflammatory disease,,Small molecule therapeutic (Primary),,Discovery,,06-Apr-2020,World,,No
Roche and Arrakis to develop and commercialize RNA-Targeted small molecules against a broad set of targets,Roche Holding AG,Arrakis Therapeutics,Arrakis Therapeutics Inc,Pharma,Biologics,Roche; Roche GmbH; Roche Holding Ltd; Roche Holdings Inc; Roche R&D Center China Ltd,Pharma,Biologics; Pharmaceuticals; Diagnostics & Testing; Digital Imaging & Pathology; Digital Health Software & Analytics; Holding Company; Medical Equipment & Technology,Screening,Small Molecule,Unknown,multiple unspec.,rSM,08-Apr-2020,Drug - Early Research/Development,Drug Discovery Technology; Drug,License - Collaboration (Shared responsibilities),Active,190,190,190,Payment Unspecified,Payment Unspecified,Unidentified indication (Primary),,Small molecule therapeutic (Primary),,Discovery,,08-Apr-2020,,,No
AbbVie to develop and commercialize Harpoon's HPN-217 for multiple myeloma worldwide,AbbVie Inc,Harpoon Therapeutics Inc,,Biotech,Biotechnology & Medical Research,Abbvie Inv; Abbvie Pharmaceutical Trading (Shanghai) Co Ltd,Pharma,Pharmaceuticals; Biologics,Modality,Cell Therapy,Cancer,7,"1 license, 6 options",20-Nov-2019,Drug - Development/Commercialization License,Drug; Product(s) only,License - License Option (Option to take a license);License - Collaboration (Shared responsibilities),Active,510,80,30,280,Payment Unspecified,Multiple myeloma (Primary),APRIL receptor modulator,Antibody (Primary); Biological therapeutic; Immuno-oncology,HPN-217,Preclinical,Phase 2 Clinical,27-Apr-2020,World,,Yes-Redacted
"Gilead to develop Galapagos's GLPG-1690 for IPF, with an option to develop GLPG-1972 in the US for osteoarthritis and other clinical programs outside of Europe",Gilead Sciences Inc,Galapagos NV,Galagapos Genomics Nv; Galapagos Genomics NV; Galapagos Sasu; Galápagos Nv,Biotech,Pharmaceuticals,Gilead Biologics Inc; Gilead Calistoga Llc; Gilead Connecticut Inc; Gilead Sciences Drive; Gilead Scienes Inc,Biotech,Biologics; Pharmaceuticals,Target ID,Small Molecule,Inflammatory,26,"1 asset license + target ID, options to 6 clin, 20 preclin programs",14-Jul-2019,Drug - Development/Commercialization License,Drug; Product(s) Plus (Platform Technology and/or Ongoing Research),License - License Option (Option to take a license);License - Basic License (Licensee takes over);License - Equity/Equity Option (Licensee invests in Licensor company);License - Co-Development/Co-Development Option (Shared responsibilities and costs),Active,6525,5050,3950,1075,24,Inflammatory disease (Primary); Crohns disease; Idiopathic pulmonary fibrosis; Inflammatory bowel disease; Osteoarthritis; Psoriasis; Rheumatoid arthritis; Ulcerative colitis,Aggrecanase-2 inhibitor; Ectonucleotide pyrophosphatase-PDE-2 inhibitor; G-protein coupled receptor 84 antagonist; Jak1 tyrosine kinase inhibitor,Small molecule therapeutic (Primary); Capsule formulation; Film coating; Oral formulation; Oral liquid formulation; Oral suspension formulation; Solution; Systemic formulation unspecified; Tablet formulation,GLPG-0555; GLPG-1205; GLPG-1972 (Fast Track); GLPG-3121; GLPG-3312; GLPG-3667; GLPG-3970; GLPG-4059; GLPG-4124; GLPG-4259; GLPG-4399; GLPG-4471; ziritaxestat (Orphan Drug),Phase 3 Clinical,Phase 3 Clinical,30-Apr-2020,World,Europe,Yes-Redacted
"Gossamer to develop and commercialize Aerpio's AKB-4924 and other related products against IBD, ulcerative colitis and Crohn's diseases worldwide",Gossamer Bio,Aerpio Pharmaceuticals Inc,Zeta Acquisition II Corp,Biotech,Pharmaceuticals,,Pharma,Biotechnology & Medical Research; Pharmaceuticals,Asset License,Small Molecule,Gastrointestinal,1,,24-Jun-2018,Drug - Development/Commercialization License,Drug; Product(s) Plus (Platform Technology and/or Ongoing Research),License - Basic License (Licensee takes over),Active,510,35,20,490,Payment Unspecified,Ulcerative colitis (Primary); Crohns disease; Inflammatory bowel disease,HIF prolyl hydroxylase-2 inhibitor,Small molecule therapeutic (Primary); Oral formulation; Oral sustained release formulation,GB-004,Phase 1 Clinical,Phase 1 Clinical,11-May-2020,Europe; Japan; US; World,,Yes-Redacted
